game_id,team_id,player_id,Fg2PtAtt,Fg2PtMade,Fg3PtAtt,Fg3PtMade,FgAtt,FgMade,FtAtt,FtMade,OffReb,DefReb,Reb,Ast,Pts,Tov,Stl,Blk,BlkAgainst,FoulPers,PlusMinus,MinSeconds
31513,86,9158,14,10,1,0,15,10,8,5,0,3,3,8,25,4,4,0,2,0,36,1765
31542,86,9158,17,10,3,0,20,10,4,4,1,6,7,3,24,6,2,1,2,3,17,2142
31559,86,9158,22,10,5,2,27,12,8,7,2,7,9,11,33,7,2,0,3,2,5,2377
31579,86,9158,14,10,3,0,17,10,4,3,0,5,5,4,23,2,3,1,0,0,33,1519
31601,86,9158,19,9,3,0,22,9,7,6,1,8,9,5,24,1,0,0,2,2,7,2263
31611,86,9158,21,9,5,1,26,10,9,4,2,7,9,2,25,4,1,2,3,0,-9,2302
31626,86,9158,10,4,3,0,13,4,5,4,0,4,4,5,12,3,0,0,0,2,-29,1587
31640,86,9158,5,3,5,1,10,4,9,5,0,4,4,7,14,2,2,1,0,3,3,2123
31644,86,9158,21,12,3,1,24,13,8,7,3,3,6,2,34,5,2,1,0,2,3,2063
31671,86,9158,11,7,7,4,18,11,4,3,0,5,5,3,29,0,2,0,0,2,28,1753
31686,86,9158,9,6,2,1,11,7,8,5,0,2,2,7,20,2,3,0,1,1,11,1841
31709,86,9158,13,8,9,4,22,12,8,6,0,10,10,4,34,2,1,1,0,3,2,2382
31718,86,9158,8,5,4,0,12,5,4,3,0,12,12,8,13,3,1,2,1,1,21,1934
31738,86,9158,17,12,5,3,22,15,6,4,0,7,7,9,37,2,2,0,0,1,11,2220
31743,86,9158,11,6,6,3,17,9,8,6,3,7,10,7,27,4,2,0,1,2,2,2503
31765,86,9158,14,8,3,1,17,9,4,3,2,5,7,5,22,4,0,0,1,4,9,2240
31771,86,9158,12,6,2,1,14,7,6,4,2,5,7,7,19,4,0,2,2,1,10,2183
31791,86,9158,13,7,3,0,16,7,2,2,1,4,5,5,16,3,1,1,1,1,-34,1973
31803,86,9158,11,6,1,1,12,7,4,2,0,1,1,5,17,4,1,1,0,1,15,1743
31814,86,9158,13,8,4,1,17,9,5,3,1,4,5,12,22,0,0,0,0,4,21,2111
31829,86,9158,22,11,5,0,27,11,7,4,3,10,13,9,26,1,2,1,1,3,-2,2384
31841,86,9158,14,10,1,1,15,11,3,2,0,4,4,9,25,5,1,1,0,2,1,2281
31859,86,9158,7,7,1,0,8,7,7,7,0,3,3,9,21,2,0,0,0,2,16,1861
31873,86,9158,14,7,2,0,16,7,7,6,1,8,9,8,20,1,1,0,1,2,19,2148
31880,86,9158,15,10,2,0,17,10,11,9,1,4,5,7,29,2,2,2,1,2,14,2049
31897,86,9158,17,9,5,0,22,9,10,6,2,10,12,6,24,1,2,1,3,2,-1,2615
31910,86,9158,18,10,3,0,21,10,5,3,0,6,6,6,23,1,1,2,1,1,-9,2348
